'Great Court','1'
'Great Court','4'
'Great Court','24'
'1','2'
'2','Grenville Shop'
'Grenville Shop','South Stairs Level 0'
'South Stairs Level 0','Hallway 1'
'Hallway 1','3'
'Hallway 1','5'
'Hallway 1','6'
'Hallway 1','11'
'11','12'
'12','13'
'13','14'
'14','15'
'15','17'
'17','16'
'17','18'
'17','19'
'19','20'
'20','21'
'21','22'
'21','77'
'22','23'
'23','10'
'10','7'
'7','6'
'6','4'
'7','8'
'23','8'
'8','9'
'8','4'
'9','4'
'21','West Stairs Level 0'
'4','West Stairs Level 0'
'24','25'
'24','26'
'26','27'
'24','North Stairs Level 1'
'North Stairs Level 1','33'
'33','67'
'North Stairs Level -1','North Stairs Level 1'
'North Stairs Level -1','34'
'North Stairs Level 1','North Stairs Level 2'
'North Stairs Level 2'
'10','87'
'Great Court','South Lifts Level 0'
'South Lifts Level 0','South Stairs Level 0'
'Great Court Level 0','Great Court Level 3'
'Great Court Level 3','35'
'Great Court Level 3','56'
'56','55'
'55','54'
'54','53'
'53','52'
'52','51'
'51','50'
'50','49'
'49','41'
'41','40'
'41','47'
'47','46'
'46','45'
'47','48'
'47','39'
'39','38'
'38','37'
'37','36'
'36','40'
'36','South Lifts Level 3'
'South Lifts Level 3','South Lifts Level 0'
'36','South Stairs Level 3'
'South Stairs Level 3','South Stairs Level 0'
'37','68'
'68','69'
'69','70'
'70','71'
'71','72'
'72','73'
'73','59'
'59','58'
'58','57'
'57','56'
'59','61'
'61','62'
'62','63'
'63','56'
'63','64'
'64','65'
'65','53'
'63','66'
'66','North Stairs Level 3'
'North Stairs Level 3&4','North Stairs Level 2'
'North Stairs Level 3&4','90'
'90','91'
'91','94'
'North Stairs Level 3&4','North Stairs Level 5'
'North Stairs Level 5','92'
'92','93'
'93','94'
'59','West Stairs Level 3'
'West Stairs Level 3','West Stairs Level 0'
'53','East Stairs Level 3'
'East Stairs Level 3','East Stairs Level 0'
'West Stairs Level 0','West Stairs Level -2'
'West Stairs level -2','77'
'77','78'
'87','82'
'82','83'
'83','84'
'83','85'
'84','85'
'85','82'
'25','Great Court Level 0'
